5 hexa 12 8 bubble
#SNAPSHOT FILE
#iterations: 100000 (100000 total)
46.1186 56.7112 -0.652778 -0.855024 403.117 
44.6982 55.3039 -1.61693 -1.81502 403.182 
41.2018 51.9245 -3.43184 -4.22899 403.515 
37.0683 48.2944 -4.37024 -6.45629 404.207 
32.6498 44.4869 -4.63631 -7.77814 404.803 
28.7354 40.0506 -4.32784 -7.40597 405.004 
26.486 36.2351 -3.14899 -5.17404 404.821 
25.577 32.5519 -1.12712 -2.21483 404.801 
25.7827 29.7588 1.10141 0.873331 405.053 
26.2705 27.4511 3.45699 3.47508 405.301 
25.7885 25.2384 4.64221 4.71135 405.348 
24.7796 23.3432 5.07228 5.01847 405.207 
44.7221 54.9917 -0.985839 -0.940962 403.242 
41.9339 52.0348 -2.75177 -2.68278 403.386 
38.8425 48.8747 -3.87662 -4.6018 403.791 
35.2651 45.6505 -4.27649 -6.17048 404.579 
30.9319 41.4074 -4.53721 -6.98361 405.094 
27.81 37.5447 -3.93295 -6.0557 405.014 
25.7346 33.7372 -2.41046 -3.68505 404.723 
24.8333 30.091 -0.37385 -0.847432 404.722 
24.9844 27.7959 1.29009 1.21485 405.056 
25.2389 25.5665 3.29428 3.36612 405.296 
24.162 22.8688 4.23778 4.19972 405.275 
23.0922 21.1841 4.20657 4.04973 405.237 
43.0504 52.5032 -0.367166 -0.199389 403.573 
41.2198 50.4962 -1.54462 -1.16068 403.59 
38.8175 47.9124 -2.8885 -2.58543 403.759 
36.5367 45.0665 -3.44517 -3.76845 404.239 
33.7165 41.5044 -3.91942 -4.79057 404.77 
30.5487 38.1066 -4.19609 -5.46396 405.009 
27.4428 34.5217 -3.4282 -4.65203 404.894 
24.5572 30.3593 -1.74943 -2.40182 404.555 
23.3682 27.3964 -0.467852 -0.797355 404.573 
23.0992 25.2056 0.42818 0.371649 404.756 
22.4726 22.1585 1.8644 1.85425 405.098 
21.7032 20.1947 2.5932 2.48773 405.091 
39.4246 48.1635 -0.444892 -0.011267 403.858 
37.8286 46.6243 -1.42674 -0.988236 403.849 
35.9919 44.4345 -2.42996 -2.16339 403.917 
34.2908 41.5453 -3.0889 -3.05526 404.321 
32.2297 38.129 -3.63015 -3.98142 404.662 
30.0811 35.0466 -3.91999 -4.68519 404.835 
26.4737 31.3828 -3.12238 -4.17861 404.769 
23.1648 27.6932 -1.83283 -2.61262 404.443 
21.6321 24.9365 -1.34046 -1.71432 404.389 
20.6093 22.0096 -0.966954 -1.01421 404.475 
19.4154 18.8395 -0.0357321 -0.0972447 404.653 
18.7273 17.3773 0.506944 0.337984 404.68 
37.9888 46.6633 0.141694 0.794644 403.668 
36.8191 45.6601 -0.254144 0.375996 403.755 
35.0365 43.8581 -1.10894 -0.668686 403.831 
33.2608 41.6529 -1.9139 -1.62585 403.907 
31.9527 38.4397 -2.72769 -2.61795 404.141 
30.57 35.128 -3.53973 -3.90674 404.537 
28.5376 32.1512 -3.92186 -4.951 404.836 
24.9764 29.0542 -3.38593 -4.91876 404.793 
21.605 25.4921 -2.77994 -3.93306 404.45 
19.5692 22.1204 -2.70341 -3.18706 404.341 
17.6558 18.5806 -2.61891 -2.73998 404.362 
16.2139 16.0162 -2.24993 -2.28571 404.588 
36.039 44.5982 0.393459 1.26029 402.315 
34.6434 43.4689 0.139007 0.882731 403.136 
32.6743 41.1892 -0.307274 0.26169 403.779 
31.0394 38.3791 -0.985129 -0.555567 403.989 
30.0407 35.2253 -2.13953 -1.9405 404.244 
28.8161 32.2459 -3.58274 -4.0791 404.702 
26.8192 29.6114 -4.40162 -5.60794 405.095 
23.4923 26.8209 -4.34223 -6.13919 405.057 
20.0803 23.3896 -4.29984 -5.74468 404.781 
16.8968 19.2552 -4.72856 -5.34364 404.662 
13.3014 14.9294 -5.8561 -5.76845 404.711 
10.1272 11.84 -7.22147 -6.89823 404.833 
35.432 44.0704 0.805979 1.95097 399.247 
34.5972 42.8422 0.81426 1.79113 400.539 
32.8375 40.2874 1.32074 2.03922 402.804 
31.1127 37.5048 1.43768 1.93033 404.164 
29.745 34.9155 0.322796 0.74185 404.314 
28.8946 32.4697 -1.68876 -1.54447 404.57 
27.3664 29.3203 -4.20548 -4.6239 405.024 
25.3047 26.8897 -5.20763 -6.34321 405.405 
22.2007 24.5898 -5.52539 -7.19186 405.362 
18.0518 21.1596 -6.31702 -7.58573 405.17 
11.7125 15.0497 -8.5968 -8.82963 405.154 
7.17478 10.6963 -10.7572 -10.252 405.243 
34.2247 42.4428 1.22089 2.4045 398.057 
33.025 39.6367 2.24152 3.15587 400.349 
31.4297 36.8757 2.60144 3.18333 403.514 
30.1892 34.9353 2.18703 2.57804 404.549 
29.2873 32.9527 0.655536 1.02436 404.594 
27.8178 29.9509 -2.60785 -2.51636 404.948 
26.007 26.8722 -5.08708 -5.5062 405.394 
23.8466 25.2619 -5.76262 -6.93516 405.529 
21.035 23.2041 -6.40641 -7.77824 405.522 
13.9152 17.7378 -8.85502 -9.77911 405.385 
6.80506 11.3015 -12.0752 -11.6873 405.376 
4.5917 9.08585 -13.0211 -12.2595 405.414 
